,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
229,Bachelors,2013,Pune,3,24,Male,No,2,0
2304,Masters,2017,New Delhi,2,30,Male,No,2,0
675,Bachelors,2017,Pune,2,25,Female,No,3,1
1964,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1298,Bachelors,2016,Bangalore,3,28,Male,No,2,0
2268,Bachelors,2014,Bangalore,3,30,Female,No,2,0
185,Masters,2017,Pune,2,24,Male,No,2,1
3180,Bachelors,2014,Bangalore,3,40,Female,No,3,0
769,Bachelors,2015,New Delhi,3,25,Female,No,3,1
284,PHD,2014,Bangalore,3,24,Female,No,2,0
2742,Masters,2017,Pune,2,27,Male,No,5,0
2621,Masters,2017,New Delhi,3,29,Female,Yes,2,0
2185,Bachelors,2012,Bangalore,3,28,Male,No,2,0
3308,Bachelors,2015,Pune,2,37,Female,No,3,1
4216,PHD,2015,New Delhi,2,39,Female,No,5,0
3964,Bachelors,2014,Pune,3,33,Male,No,6,0
3900,Bachelors,2016,Bangalore,3,39,Female,No,3,1
3179,Bachelors,2014,Pune,3,41,Male,No,2,0
4063,Bachelors,2013,New Delhi,3,26,Female,Yes,4,0
1429,Bachelors,2015,Bangalore,3,28,Male,No,0,1
4142,Bachelors,2013,Bangalore,3,26,Female,No,4,0
2942,Bachelors,2013,Bangalore,3,26,Male,No,4,0
3846,Bachelors,2014,Pune,3,33,Male,No,2,0
2089,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1063,Bachelors,2014,Bangalore,3,27,Female,No,5,0
3449,Bachelors,2014,Bangalore,3,34,Male,No,5,0
3785,Bachelors,2017,Pune,2,33,Male,No,1,1
2382,Bachelors,2013,Bangalore,3,26,Male,Yes,4,0
2355,Masters,2017,New Delhi,2,30,Female,No,1,0
869,Bachelors,2015,Pune,3,25,Male,No,3,0
3719,Bachelors,2015,Pune,2,36,Female,No,0,1
1822,Bachelors,2017,Bangalore,3,27,Male,Yes,5,0
4037,Bachelors,2016,Bangalore,3,24,Male,No,2,1
3039,Bachelors,2013,Bangalore,3,39,Male,No,0,0
2392,Bachelors,2016,Bangalore,3,26,Male,No,4,0
3058,Bachelors,2012,Bangalore,3,33,Male,No,2,0
1632,Bachelors,2015,Bangalore,3,25,Male,No,3,1
23,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0
957,Masters,2015,Pune,1,26,Female,No,4,0
283,Masters,2013,New Delhi,3,27,Male,No,5,0
1798,Masters,2015,Bangalore,3,27,Female,No,5,0
2353,Masters,2014,Pune,3,27,Male,No,5,0
702,Bachelors,2015,Bangalore,3,26,Male,No,4,0
3251,Bachelors,2016,Bangalore,3,37,Female,No,0,0
4596,Bachelors,2018,New Delhi,3,27,Female,No,5,1
817,Bachelors,2013,Bangalore,3,26,Female,No,4,0
4287,Bachelors,2017,Pune,3,38,Male,No,2,0
1149,Bachelors,2017,Bangalore,3,25,Male,No,3,0
668,Bachelors,2016,Bangalore,3,26,Female,No,4,0
2324,Bachelors,2015,New Delhi,3,28,Female,No,2,0
831,PHD,2016,New Delhi,3,24,Female,No,2,0
4175,PHD,2013,New Delhi,3,27,Male,No,5,0
2719,Bachelors,2014,Bangalore,3,29,Male,No,4,1
1666,Bachelors,2013,Bangalore,3,28,Male,No,2,1
1378,PHD,2018,Bangalore,3,27,Female,No,5,1
3878,Bachelors,2017,Bangalore,3,33,Male,No,1,0
340,Bachelors,2017,Bangalore,3,26,Female,No,4,0
986,Bachelors,2016,Bangalore,3,26,Male,No,4,0
2253,Masters,2018,New Delhi,3,29,Male,No,2,1
1639,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1302,Bachelors,2012,New Delhi,3,28,Female,No,4,0
500,Bachelors,2015,New Delhi,3,25,Male,No,3,1
298,Bachelors,2012,Bangalore,3,28,Male,No,3,0
2989,Bachelors,2014,Bangalore,1,26,Male,No,4,0
2934,Bachelors,2018,Bangalore,3,29,Male,No,0,1
2566,Bachelors,2013,Bangalore,3,26,Female,No,4,0
2455,Bachelors,2012,Pune,1,27,Male,No,5,0
1135,Bachelors,2016,Pune,2,26,Female,No,4,1
808,Bachelors,2017,Bangalore,3,27,Male,No,5,0
4040,Bachelors,2017,New Delhi,2,27,Female,No,5,0
4010,Bachelors,2018,Bangalore,3,32,Female,No,2,1
2370,PHD,2015,Pune,3,27,Male,No,5,0
1443,Masters,2017,Pune,2,26,Female,No,4,1
2660,Bachelors,2013,Bangalore,3,27,Female,No,5,0
1409,Bachelors,2018,Bangalore,3,27,Male,No,5,1
2916,Masters,2017,New Delhi,2,26,Male,No,4,1
1887,Bachelors,2017,Pune,3,26,Male,Yes,4,0
3088,Bachelors,2015,Pune,2,39,Female,No,4,1
4293,Masters,2013,Bangalore,3,31,Male,No,2,0
779,Bachelors,2015,Pune,2,26,Female,Yes,4,1
990,Bachelors,2017,Bangalore,3,24,Female,No,2,0
775,Bachelors,2013,Bangalore,1,28,Female,No,2,0
4058,Masters,2017,New Delhi,2,27,Female,No,5,0
471,Bachelors,2014,Bangalore,3,28,Male,No,3,1
1085,Masters,2018,Pune,3,24,Male,No,2,1
2013,Masters,2015,New Delhi,3,28,Female,No,2,0
393,Bachelors,2014,Pune,2,26,Male,No,4,0
2662,Bachelors,2014,Pune,3,29,Male,No,1,0
2978,Bachelors,2012,Pune,3,26,Male,No,4,0
4523,Bachelors,2015,Bangalore,3,28,Male,No,1,1
1968,Bachelors,2014,Bangalore,3,28,Female,No,1,1
4130,Bachelors,2015,Pune,2,25,Female,No,3,1
3323,Bachelors,2013,Bangalore,3,40,Male,No,1,0
